I, [2019-04-04T16:30:29.933039 #35390]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-04-04T16:30:29.933427 #35390] ERROR -- Kitchen: ------Exception-------
E, [2019-04-04T16:30:29.933464 #35390] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-04-04T16:30:29.933509 #35390] ERROR -- Kitchen: Message: Kitchen YAML file /Users/iillmaticc/DEV/privatir/privatir-fe/.kitchen.yml does not exist.
E, [2019-04-04T16:30:29.933539 #35390] ERROR -- Kitchen: ----------------------
E, [2019-04-04T16:30:29.933566 #35390] ERROR -- Kitchen: ------Backtrace-------
E, [2019-04-04T16:30:29.933593 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-04-04T16:30:29.933621 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-04-04T16:30:29.933650 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-04-04T16:30:29.933680 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-04-04T16:30:29.933709 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-04-04T16:30:29.933737 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-04-04T16:30:29.933765 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-04-04T16:30:29.933793 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-04-04T16:30:29.933821 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-04-04T16:30:29.933848 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-04-04T16:30:29.933876 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-04-04T16:30:29.933904 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-04-04T16:30:29.933932 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-04-04T16:30:29.933959 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-04-04T16:30:29.933987 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-04-04T16:30:29.934015 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-04-04T16:30:29.934051 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-04-04T16:30:29.934079 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-04-04T16:30:29.934107 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-04-04T16:30:29.934135 #35390] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-04-04T16:30:29.934163 #35390] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `load'
E, [2019-04-04T16:30:29.934189 #35390] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `<main>'
E, [2019-04-04T16:30:29.934216 #35390] ERROR -- Kitchen: ----End Backtrace-----
